method,size,shape,initial_previous_us,previous_us,candidate_us,speedup,repeat_previous_us,repeat_candidate_us,repeat_speedup,previous_bytes,candidate_bytes,native_us
ToRecord,1000,iterator,19.672246696035245,19.530434782608694,18.74479495268139,1.0419124259246657,17.10836653386454,16.58295081967213,1.0316840904797906,73312,73304,16.067134831460674
ToRecordIndexed,1000,iterator,17.720858895705522,20.311986301369863,19.941414141414143,1.0185830431747627,16.944540229885057,16.194857142857142,1.046291429459047,73224,73224,
Filter,10000,array,78.1234375,85.25882352941177,23.341463414634145,3.65267687012109,75.28095238095237,20.02123552123552,3.760055282357856,30376,30216,22.65142857142857
FilterIndexed,10000,array,74.55217391304349,82.98,43.62824427480916,1.9019788987454727,70.03142857142856,37.65114503816794,1.8600079360252098,30288,30312,62.965591397849465
Map,10000,array,108.16382978723404,115.5625,20.252296819787986,5.706142914471159,101.61923076923077,17.938636363636366,5.6648247229775155,106392,40072,20.18205128205128
MapIndexed,10000,array,102.95098039215686,103.40196078431373,98.9890909090909,1.044579355509745,96.91041666666666,89.89183673469387,1.0780780567726898,106304,106288,96.3490909090909
Reduce,10000,array,42.50086206896552,43.83884297520661,33.39545454545454,1.312718858655976,41.721008403361346,31.946875,1.3059495929840195,120,32,32.96410256410256
ReduceIndexed,10000,array,35.9645390070922,36.21086956521739,36.46573426573427,0.9930108441349454,34.68150684931507,34.705479452054796,0.999309255970002,32,32,
ForEach,10000,array,43.11196581196582,43.13666666666666,25.071497584541063,1.7205460711395428,41.54655172413793,23.890196078431373,1.7390628183938233,208,88,
ForEachIndexed,10000,array,36.37109375,35.4972027972028,36.390209790209795,0.9754602405934125,34.70068965517242,34.71095890410959,0.999704149661623,120,120,
Concat,10000,array,8.94798927613941,8.401699029126213,8.846912114014252,0.9496758779616694,7.562694877505568,7.63982398239824,0.9899043348288686,160048,160048,5.0474789915966385
Slice,10000,array,0.18316266666666667,0.18556666666666666,0.11703,1.5856333133954257,0.16961600000000002,0.10096000000000001,1.6800316957210777,312,200,0.09297000000000001
ToRecord,10000,array,223.65882352941176,250.365,139.76250000000002,1.7913603434397638,209.89736842105265,118.16129032258064,1.776363205310574,673442,202248,125.41694915254237
ToRecordIndexed,10000,array,180.70999999999998,221.8,124.06521739130434,1.7877694059926408,191.83695652173913,108.83999999999999,1.7625593212214181,673229.4,202224,
ReduceIndexedTypedArray,10000,array,,36.17972027972028,13.564473684210526,2.6672409945278313,34.6486301369863,13.040721649484537,2.656956498903254,32,0,
ForEachIndexedTypedArray,10000,array,,35.85874125874126,24.137735849056604,1.485588436420923,34.69657534246575,23.51064814814815,1.4757813193337537,120,88,
FilterAsync,10000,array,89.69772727272726,83.20357142857142,35.08680555555556,2.3713635399731388,81.02758620689656,30.020779220779218,2.6990500683210916,,,
ConcatAsync,10000,array,19.16,13.425,13.5105,0.9936715887642945,12.3815,13.4565,0.9201129565637425,,,
ForEachAsync,10000,array,66.15604395604396,56.178125,38.03426573426573,1.4770398196326464,50.87604166666667,30.041772151898737,1.6935100036517368,,,
FilterParallel,10000,array,68.916,52.371532846715326,51.81612903225806,1.0107187438511953,41.31333333333333,41.17596899224806,1.0033360317789033,,,
FilterParallelCpu,10000,array,428.7,409.01666666666665,410.23333333333335,0.9970342081742097,401.85833333333335,404.09999999999997,0.994452693227749,,,
FilterParallelAsync,10000,array,80.02428571428571,60.35087719298246,61.70084033613445,0.9781208305138529,53.160000000000004,53.66306306306306,0.9906255246281437,,,
ForEachParallel,10000,array,541.4666666666667,512.7625,532.7222222222222,0.9625325894253834,528.675,543.4222222222222,0.9728623129140426,,,
ToDictionaryParallel,10000,array,946.225,835.4100000000001,670.58,1.245802141429807,726.175,401.65263157894736,1.8079677385538695,,,
Filter,10000,list,97.88260869565218,100.32115384615385,21.78046875,4.60601445256562,95.77884615384616,20.675471698113206,4.632486627262135,30384,30240,21.32101167315175
FilterIndexed,10000,list,91.69245283018867,92.39787234042552,53.6804347826087,1.7212578980519069,90.80181818181819,52.85544554455445,1.7179274007874341,30296,30312,106.84651162790696
Map,10000,list,161.9741935483871,158.625,16.04621848739496,9.885506677140611,155.78181818181818,15.136756756756757,10.29162459866313,106400,40096,15.4061797752809
MapIndexed,10000,list,158.73636363636365,155.85454545454544,152.25428571428571,1.0236463605826889,149.8875,140.66190476190476,1.0655870205491045,106312,106296,149.84857142857143
Reduce,10000,list,92.02181818181818,90.74727272727273,80.67258064516129,1.124883721352922,87.99122807017544,78.40166666666667,1.1223132340321265,128,40,80.29333333333334
ReduceIndexed,10000,list,84.64237288135593,84.49666666666667,84.72833333333332,0.9972657709935678,82.0327868852459,82.1467741935484,0.9986123945897872,40,40,
ForEach,10000,list,90.64,91.43888888888888,24.212135922330095,3.7765725907955794,88.20350877192983,23.66495327102804,3.727178657898028,216,88,
ForEachIndexed,10000,list,86.74464285714285,86.36842105263158,85.9864406779661,1.0044423326707528,81.58196721311475,81.69672131147541,0.9985953647035215,128,128,
Concat,10000,list,8.573651191969887,10.027873183619551,9.886070959264126,1.0143436381288102,9.117777777777778,8.405594405594405,1.0847273063412832,160080,160080,4.796113689095128
Slice,10000,list,0.27346160513087187,0.27504400117336464,0.07660499999999999,3.590418395318382,0.26150246009840394,0.07845,3.333364692140267,312,200,0.07145
ToRecord,10000,list,276.9269230769231,283.256,174.63513513513513,1.6219874642110963,244.48620689655175,173.11304347826086,1.4122922339312565,673398.08,202256,113.70833333333333
ToRecordIndexed,10000,list,267.5566666666667,274.59999999999997,191.9102564102564,1.4308771461019438,250.6578947368421,152.00465116279068,1.6490146375086765,673284.6896551724,202232,
Filter,10000,iterator,86.28103448275863,86.60166666666667,56.1032967032967,1.543611013175592,83.05000000000001,54.65531914893617,1.5195227343506696,30400,30280,56.355555555555554
FilterIndexed,10000,iterator,79.87878787878788,78.86923076923077,61.16309523809524,1.2894905083238384,75.81587301587301,60.006410256410255,1.263462898245507,30312,30368,95.67222222222223
Map,10000,iterator,156.32258064516128,153.9969696969697,59.80813953488372,2.5748496926099724,146.97058823529412,55.94838709677419,2.626895892120686,106416,106296,60.517582417582425
MapIndexed,10000,iterator,146.61142857142855,149.18055555555554,142.39210526315787,1.0476743445842858,140.61621621621623,135.65,1.0366105139418815,106328,106312,138.43421052631578
Reduce,10000,iterator,75.14615384615385,75.5265625,66.20131578947368,1.1408619541669152,72.93088235294118,63.15875,1.1547233337097582,144,56,65.7486842105263
ReduceIndexed,10000,iterator,68.51643835616439,69.22857142857143,69.44722222222222,0.9968515545092482,65.85263157894737,66.05263157894737,0.9969721115537848,56,56,
ForEach,10000,iterator,75.75757575757575,76.60333333333332,42.4890756302521,1.8028947958282238,84.74237288135593,40.673228346456696,2.083492664007783,232,144,
ForEachIndexed,10000,iterator,69.05211267605634,68.20533333333333,69.20533333333333,0.9855502466091245,66.03157894736842,66.576,0.991822562896065,144,144,
Concat,10000,iterator,182.6142857142857,189.0142857142857,68.91084337349398,2.7428816200933133,174.4851851851852,64.6075,2.700695510353832,211920,146352,66.09879518072289
Slice,10000,iterator,135.76388888888889,136.13888888888889,10.953610503282276,12.428677178916901,131.87297297297297,10.638362068965517,12.395984656103776,928,424,10.704956896551725
ToRecord,10000,iterator,257.50689655172414,255.20344827586206,238.17307692307693,1.0715041833140757,233.8764705882353,255.0909090909091,0.9168357720850279,673387.0344827586,673397.8461538461,221.4294117647059
ToRecordIndexed,10000,iterator,249.61290322580646,251.5157894736842,234.84666666666666,1.0709787498524606,228.659375,224.455,1.018731482925308,673394.947368421,673294.1333333333,
SortCollection,32,sorted,1.3908179254152304,1.3475506013493694,0.227665,5.919006440820369,1.3155822854018588,0.21985,5.983999478743957,152,304,
SortCollectionParallel,32,sorted,3.2415,2.131,0.235,9.068085106382979,1.806,0.2275,7.938461538461539,,,
SortCollection,32,shuffled,0.5304998299897994,0.5293134025842412,0.3281,1.6132685235728168,0.5323812762099059,0.3125165006600264,1.7035301338826305,152,304,
SortCollectionParallel,32,shuffled,2.0385,2.655,0.327,8.119266055045872,2.3955,0.327,7.325688073394495,,,
SortCollection,32,duplicates,0.5485779431177247,0.5644792020854584,0.3347653906156246,1.6861934295161045,0.5360194945030036,0.3203168126725069,1.6734041839103584,152,304,
SortCollectionParallel,32,duplicates,2.516,2.2795,0.32899999999999996,6.92857142857143,1.585,0.3325,4.7669172932330826,,,
SortCollection,1000,sorted,987.8399999999999,988.54,6.060454002389487,163.11319244568858,958.64,5.771541950113379,166.09772713878792,4024,8048,
